2023-09-03T18:33:53-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack TEST 2, Este Founder pack nao existe no banco produção!!, 

2023-09-03T18:53:07-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack TEST 3, Este Founder pack nao existe no banco produção!!, 

2023-09-04T17:19:31-03:00 - Account name: Marcus, AccountID: 49, Provavelmente pack de teste, Silver Founder's Pack TEST 6, Este Founder pack nao existe no banco produção!!, 

2023-09-04T17:33:24-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack Test, Este Founder pack nao existe no banco produção!!, 

2023-09-04T17:35:36-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack Test, Este Founder pack nao existe no banco produção!!, 

2023-09-04T17:45:39-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack Test, Este Founder pack nao existe no banco produção!!, 

2023-09-04T17:54:08-03:00 - Account name: garry, AccountID: 53, Provavelmente pack de teste, Silver Founder's Pack Test, Este Founder pack nao existe no banco produção!!, 

2023-10-12T15:39:12-03:00 - Account name: Marcus, AccountID: 49, Provavelmente pack de teste, Silver Founder's Pack TEST 6, Este Founder pack nao existe no banco produção!!, 

2023-10-24T16:42:49-03:00 - Account name: Marcus, AccountID: 49, Provavelmente pack de teste, Silver Founder's Pack TEST 3, Este Founder pack nao existe no banco produção!!, 

2023-10-24T17:28:03-03:00 - Account name: Marcus, AccountID: 49, Provavelmente pack de teste, Silver Founder's Pack TEST 2, Este Founder pack nao existe no banco produção!!, 

2023-10-24T17:29:21-03:00 - Account name: Marcus, AccountID: 49, Provavelmente pack de teste, Silver Founder's Pack TEST 4, Este Founder pack nao existe no banco produção!!, 

